timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
960000,960000,197388,0.0061852043,-0.2112755,0.427073,11.832275,0,0
1964000,1964000,197388,0.0054340814,-0.21472013,0.4293667,11.832275,0,0
2964000,2964000,197388,0.00636233,-0.21246375,0.4336279,11.832275,0,0
3960000,3960000,197388,0.010232455,-0.20972972,0.42906934,11.832275,0,0
4952000,4952000,197388,0.0041297134,-0.21718568,0.42540106,11.832275,0,0
5964000,5964000,197388,0.0013958489,-0.21654,0.43118155,11.832275,0,0
6960000,6960000,197388,0.006004423,-0.2159472,0.4273913,11.832275,0,0
7964000,7964000,197388,0.0015030492,-0.21322598,0.42820808,11.832275,0,0
8964000,8964000,197388,-9.316915e-06,-0.21964043,0.43313596,11.832275,0,0
9960000,9960000,197388,0.010026341,-0.21321589,0.42237806,11.832275,0,0
10964000,10964000,197388,0.0035404155,-0.21966597,0.4294636,11.832275,0,0
11964000,11964000,197388,0.012601153,-0.22094166,0.4291458,11.832275,0,0
12960000,12960000,197388,0.010281042,-0.21632117,0.4248164,11.832275,0,0
13968000,13968000,197388,0.003722035,-0.21615638,0.4307957,11.832275,0,0
14964000,14964000,197388,0.0036994587,-0.21681269,0.43246323,11.832275,0,0
15960000,15960000,197388,0.007832103,-0.22112852,0.4270057,11.832275,0,0
16964000,16964000,197388,0.010500045,-0.21801154,0.42944342,11.832275,0,0
17960000,17960000,197388,0.0053549334,-0.21629539,0.42250434,11.832275,0,0
18956000,18956000,197388,0.009370683,-0.21870832,0.42687845,11.832275,0,0
19956000,19956000,197388,0.002209769,-0.21897703,0.4292789,11.832275,0,0
20964000,20964000,197388,0.006546787,-0.21081987,0.42615193,11.832275,0,0
21956000,21956000,197388,0.0066683353,-0.21432602,0.4311337,11.832275,0,0
22956000,22956000,197388,0.006966125,-0.21358573,0.42786837,11.832275,0,0
23960000,23960000,197388,0.011881739,-0.21690105,0.4397437,11.832275,0,0
24956000,24956000,197388,0.009727782,-0.21733598,0.42811355,11.832275,0,0
25968000,25968000,197388,0.01005829,-0.21322758,0.42808238,11.832275,0,0
26964000,26964000,197388,0.006226114,-0.2141745,0.42494893,11.832275,0,0
