timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
960000,960000,197388,0.0067459983,-0.22364843,0.43076143,11.832275,0,0
1956000,1956000,197388,0.004847509,-0.22638297,0.4253405,11.832275,0,0
2968000,2968000,197388,0.00516028,-0.21219331,0.42878956,11.832275,0,0
3960000,3960000,197388,0.003912989,-0.21603833,0.43262947,11.832275,0,0
4956000,4956000,197388,0.0041580456,-0.21699506,0.42448348,11.832275,0,0
5964000,5964000,197388,0.0060095894,-0.22045812,0.42764843,11.832275,0,0
6964000,6964000,197388,0.00054245174,-0.21271579,0.43032908,11.832275,0,0
7960000,7960000,197388,0.011662791,-0.22248442,0.4306591,11.832275,0,0
8968000,8968000,197388,0.005695444,-0.22213821,0.42912996,11.832275,0,0
9960000,9960000,197388,0.0077129845,-0.21227676,0.42294893,11.832275,0,0
10960000,10960000,197388,0.011212212,-0.21626008,0.4258237,11.832275,0,0
11952000,11952000,197388,0.0025256053,-0.21251824,0.42303994,11.832275,0,0
12960000,12960000,197388,0.007759216,-0.217177,0.4350097,11.832275,0,0
13956000,13956000,197388,0.00952169,-0.22010154,0.42826155,11.832275,0,0
14952000,14952000,197388,0.00200003,-0.21748519,0.42769945,11.832275,0,0
15960000,15960000,197388,0.0038528077,-0.21536069,0.42450303,11.832275,0,0
16956000,16956000,197388,0.0065572704,-0.22070615,0.4266672,11.832275,0,0
17968000,17968000,197388,0.003007958,-0.2158747,0.42785263,11.832275,0,0
18964000,18964000,197388,0.002472599,-0.21685137,0.42093807,11.832275,0,0
19956000,19956000,197388,0.0043168874,-0.21369605,0.4225041,11.832275,0,0
20964000,20964000,197388,0.0046320613,-0.21932608,0.42999795,11.832275,0,0
21960000,21960000,197388,0.0062780282,-0.21438248,0.4316063,11.832275,0,0
22956000,22956000,197388,0.003312187,-0.21371083,0.42881298,11.832275,0,0
23964000,23964000,197388,0.00613237,-0.21113414,0.42805815,11.832275,0,0
24960000,24960000,197388,0.01004893,-0.21579994,0.43325698,11.832275,0,0
25956000,25956000,197388,0.004085182,-0.21121919,0.42503834,11.832275,0,0
