,sensor reading,prediction
0,0.09459677010016461,
1,0.1001716322580537,
2,0.1070476300024833,
3,0.104573770130447,
4,0.1197469301343486,
5,0.1390471509732012,0.6467100977897644
6,0.1577528650742481,0.664648711681366
7,0.1646159082429298,0.6901712417602539
8,0.1777899497446847,0.7113077640533447
9,0.1929920498468184,0.7332602739334106
10,0.19336958892676392,0.7555091977119446
11,0.2007363135635672,0.7681551575660706
12,0.2176528580873371,0.7745884656906128
13,0.2296142286861195,0.7803041934967041
14,0.2397594892320979,0.7880933284759521
15,0.2498184222270839,0.7939667105674744
16,0.2683258184465022,0.8015359044075012
17,0.2751627863059275,0.8180496096611023
18,0.2820729380645248,0.8329204320907593
19,0.2875760945543533,0.84819495677948
20,0.290890901771037,0.8632649183273315
21,0.2906582809062139,0.8728116154670715
22,0.2905297779319219,0.8794909715652466
23,0.2835745745018935,0.8839092254638672
24,0.2854695464656194,0.8756446838378906
25,0.295627715750722,0.8724233508110046
26,0.2989226928981163,0.8717024922370911
27,0.2989249904588748,0.8701474666595459
28,0.3064000442260034,0.871314287185669
29,0.3077871406705474,0.8768832087516785
30,0.2993131120692964,0.8779205083847046
31,0.2885613699675941,0.8757432699203491
32,0.2606989308636639,0.874608039855957
33,0.2533412131234001,0.8622544407844543
34,0.24123024324430903,0.8452539443969727
35,0.2209052587409751,0.8263248801231384
36,0.2155152270382173,0.806647539138794
37,0.2053434098984346,0.7889992594718933
38,0.1853769250875142,0.7726713418960571
39,0.1680461721849104,0.7534552812576294
40,0.1710565898433529,0.7331616878509521
41,0.1746819802920432,0.7197097539901733
42,0.1623504732280282,0.7088314294815063
43,0.1459429845164983,0.6996133327484131
44,0.1473763186551094,0.6901712417602539
45,0.1334864007658062,0.6878893971443176
46,0.1325239176136557,0.6780222058296204
47,0.1275273302992363,0.6696175336837769
48,0.1438585010324549,0.664648711681366
49,0.1462021333272359,0.6756477952003479
50,0.1468831509625284,0.6786706447601318
51,0.1534527079598103,0.6868774890899658
52,0.1617616101245046,0.6972389221191406
53,0.1663245657908351,0.7088314294815063
54,0.1640716212558674,0.7168766856193542
55,0.1675871355881854,0.7228814959526062
56,0.1757678728236869,0.7286663055419922
57,0.1876499517932013,0.7332602739334106
58,0.1891992926965925,0.7368430495262146
59,0.1916277227450529,0.7404325008392334
