timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
972000,972000,1310988,-0.009054748,0.0015978967,-0.0015978967,11.832275,0,1
1972000,1972000,1310988,0.007456851,-0.0005326322,-0.0015978967,11.832275,0,1
2972000,2972000,1310988,-0.00479369,0.0005326322,-0.0015978967,11.832275,0,1
3972000,3972000,1310988,-0.0053263223,-0.0010652645,0.0,11.832275,0,1
4972000,4972000,1310988,0.0015978967,-0.0037284256,-0.0005326322,11.832275,0,1
5972000,5972000,1310988,0.0031957934,-0.0010652645,0.0,11.832275,0,1
6972000,6972000,1310988,-0.0063915867,0.0005326322,0.004261058,11.832275,0,1
7972000,7972000,1310988,-0.0010652645,-0.0015978967,0.0058589545,11.832275,0,1
8972000,8972000,1310988,0.0,-0.0031957934,0.0015978967,11.832275,0,1
9972000,9972000,1310988,-0.0015978967,0.0031957934,-0.0010652645,11.832275,0,1
10972000,10972000,1310988,0.0053263223,-0.0010652645,-0.0015978967,11.832275,0,1
11972000,11972000,1310988,-0.00479369,0.0,0.0058589545,11.832275,0,1
12972000,12972000,1310988,-0.0026631611,0.0010652645,-0.0010652645,11.832275,0,1
13972000,13972000,1310988,-0.0010652645,0.0026631611,0.008522116,11.832275,0,1
14972000,14972000,1310988,0.0005326322,0.00479369,0.0010652645,11.832275,0,1
15972000,15972000,1310988,0.0015978967,0.0053263223,0.006924219,11.832275,0,1
16972000,16972000,1310988,-0.0010652645,0.0,0.0015978967,11.832275,0,1
17972000,17972000,1310988,0.00479369,0.0026631611,-0.0026631611,11.832275,0,1
18972000,18972000,1310988,-0.0015978967,-0.0037284256,0.0010652645,11.832275,0,1
19972000,19972000,1310988,-0.002130529,0.0037284256,0.0026631611,11.832275,0,1
20972000,20972000,1310988,-0.0053263223,0.0026631611,0.0037284256,11.832275,0,1
21972000,21972000,1310988,0.0010652645,0.0037284256,0.0031957934,11.832275,0,1
22972000,22972000,1310988,0.00479369,0.0005326322,-0.0015978967,11.832275,0,1
23972000,23972000,1310988,0.004261058,0.0031957934,-0.0053263223,11.832275,0,1
24972000,24972000,1310988,-0.0031957934,0.0005326322,-0.0037284256,11.832275,0,1
25972000,25972000,1310988,0.0,0.0,-0.0010652645,11.832275,0,1
26972000,26972000,1310988,0.0037284256,0.0015978967,-0.002130529,11.832275,0,1
27972000,27972000,1310988,0.0010652645,-0.0015978967,0.0,11.832275,0,1
28972000,28972000,1310988,0.0,0.0031957934,-0.0026631611,11.832275,0,1
29972000,29972000,1310988,0.0026631611,0.004261058,0.0037284256,11.832275,0,1
30972000,30972000,1310988,-0.002130529,0.002130529,0.002130529,11.832275,0,1
31972000,31972000,1310988,0.004261058,0.0026631611,-0.0015978967,11.832275,0,1
32972000,32972000,1310988,0.0026631611,-0.0031957934,-0.0010652645,11.832275,0,1
33972000,33972000,1310988,-0.002130529,-0.00479369,-0.0031957934,11.832275,0,1
34972000,34972000,1310988,-0.0010652645,0.002130529,-0.0015978967,11.832275,0,1
35972000,35972000,1310988,-0.0005326322,0.00479369,0.0010652645,11.832275,0,1
36972000,36972000,1310988,0.0005326322,0.0058589545,0.0010652645,11.832275,0,1
37972000,37972000,1310988,-0.0015978967,0.0015978967,-0.0010652645,11.832275,0,1
38972000,38972000,1310988,0.0,-0.004261058,-0.0010652645,11.832275,0,1
39972000,39972000,1310988,0.0015978967,-0.0031957934,0.0,11.832275,0,1
40972000,40972000,1310988,0.006924219,0.0026631611,-0.002130529,11.832275,0,1
41972000,41972000,1310988,0.0037284256,0.002130529,0.0058589545,11.832275,0,1
42972000,42972000,1310988,0.0,-0.0010652645,0.0015978967,11.832275,0,1
43972000,43972000,1310988,-0.0010652645,-0.006924219,-0.0026631611,11.832275,0,1
44972000,44972000,1310988,0.0,0.0010652645,-0.0058589545,11.832275,0,1
45972000,45972000,1310988,0.0005326322,0.002130529,-0.0010652645,11.832275,0,1
46972000,46972000,1310988,-0.0026631611,0.004261058,0.002130529,11.832275,0,1
47972000,47972000,1310988,0.0010652645,-0.0031957934,0.00958738,11.832275,0,1
48972000,48972000,1310988,0.0,-0.0026631611,0.002130529,11.832275,0,1
49972000,49972000,1310988,-0.0037284256,-0.0037284256,0.0005326322,11.832275,0,1
50972000,50972000,1310988,0.0005326322,0.0010652645,-0.0005326322,11.832275,0,1
51972000,51972000,1310988,0.0005326322,0.002130529,0.0058589545,11.832275,0,1
52972000,52972000,1310988,-0.0031957934,-0.0010652645,0.007989483,11.832275,0,1
53972000,53972000,1310988,-0.0026631611,0.002130529,-0.0031957934,11.832275,0,1
54972000,54972000,1310988,-0.002130529,-0.002130529,-0.0005326322,11.832275,0,1
55972000,55972000,1310988,0.0,-0.0010652645,0.0026631611,11.832275,0,1
56972000,56972000,1310988,0.0010652645,0.0,-0.004261058,11.832275,0,1
57972000,57972000,1310988,0.002130529,0.0058589545,0.002130529,11.832275,0,1
58972000,58972000,1310988,0.004261058,-0.002130529,-0.004261058,11.832275,0,1
59972000,59972000,1310988,-0.0010652645,0.0037284256,0.002130529,11.832275,0,1
60972000,60972000,1310988,0.002130529,0.0010652645,-0.0015978967,11.832275,0,1
61972000,61972000,1310988,0.0037284256,-0.00479369,-0.002130529,11.832275,0,1
62972000,62972000,1310988,0.0053263223,0.0005326322,-0.0015978967,11.832275,0,1
63972000,63972000,1310988,-0.00479369,-0.0005326322,-0.00479369,11.832275,0,1
64972000,64972000,1310988,0.0005326322,0.00479369,0.002130529,11.832275,0,1
65972000,65972000,1310988,0.0053263223,0.007989483,-0.0063915867,11.832275,0,1
66972000,66972000,1310988,-0.0005326322,-0.0010652645,-0.002130529,11.832275,0,1
67972000,67972000,1310988,-0.0037284256,0.0005326322,0.0010652645,11.832275,0,1
68972000,68972000,1310988,0.0031957934,0.0010652645,0.0031957934,11.832275,0,1
69972000,69972000,1310988,0.0031957934,-0.0015978967,-0.0026631611,11.832275,0,1
70972000,70972000,1310988,0.004261058,0.0005326322,0.0015978967,11.832275,0,1
71972000,71972000,1310988,-0.002130529,-0.0037284256,0.0,11.832275,0,1
72972000,72972000,1310988,-0.0010652645,-0.009054748,-0.0026631611,11.832275,0,1
73972000,73972000,1310988,-0.002130529,-0.007989483,0.0031957934,11.832275,0,1
74972000,74972000,1310988,-0.0037284256,0.0026631611,0.0,11.832275,0,1
75972000,75972000,1310988,0.0005326322,0.008522116,-0.007456851,11.832275,0,1
76972000,76972000,1310988,-0.0058589545,0.0026631611,0.0010652645,11.832275,0,1
77972000,77972000,1310988,-0.004261058,-0.0026631611,0.0,11.832275,0,1
78972000,78972000,1310988,-0.0058589545,0.006924219,0.0053263223,11.832275,0,1
79972000,79972000,1310988,0.0015978967,-0.0015978967,0.0031957934,11.832275,0,1
80972000,80972000,1310988,0.004261058,0.002130529,0.00479369,11.832275,0,1
81972000,81972000,1310988,0.0058589545,-0.0031957934,0.0015978967,11.832275,0,1
82972000,82972000,1310988,0.004261058,-0.0026631611,-0.004261058,11.832275,0,1
83972000,83972000,1310988,0.0010652645,-0.0010652645,-0.0015978967,11.832275,0,1
84972000,84972000,1310988,-0.007456851,0.0015978967,-0.0010652645,11.832275,0,1
85972000,85972000,1310988,0.0,-0.0005326322,-0.004261058,11.832275,0,1
86972000,86972000,1310988,0.0031957934,-0.0031957934,0.002130529,11.832275,0,1
87972000,87972000,1310988,0.0,-0.0026631611,0.0031957934,11.832275,0,1
88972000,88972000,1310988,0.0010652645,-0.004261058,0.0063915867,11.832275,0,1
89972000,89972000,1310988,-0.0010652645,0.0005326322,0.0037284256,11.832275,0,1
90972000,90972000,1310988,0.004261058,0.00479369,0.0063915867,11.832275,0,1
91972000,91972000,1310988,0.0010652645,0.0031957934,0.002130529,11.832275,0,1
92972000,92972000,1310988,-0.0005326322,0.0026631611,-0.0026631611,11.832275,0,1
93972000,93972000,1310988,0.002130529,-0.0005326322,-0.0010652645,11.832275,0,1
94972000,94972000,1310988,0.0,0.0005326322,0.0053263223,11.832275,0,1
95972000,95972000,1310988,-0.0031957934,-0.0026631611,0.0031957934,11.832275,0,1
