timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
972000,972000,1310988,0.11731588,-0.04070143,-9.856929,11.832275,0,0,0,0,1
1972000,1972000,1310988,0.062249243,-0.02633622,-9.797073,11.832275,0,0,0,0,1
2972000,2972000,1310988,0.079008654,-0.019153614,-9.813833,11.832275,0,0,0,0,1
3972000,3972000,1310988,0.074220255,-0.011971008,-9.792285,11.832275,0,0,0,0,1
4972000,4972000,1310988,0.02873042,0.10534488,-9.809045,11.832275,0,0,0,0,1
5972000,5972000,1310988,0.079008654,-0.035913024,-9.809045,11.832275,0,0,0,0,1
6972000,6972000,1310988,0.12449849,-0.076614454,-9.742006,11.832275,0,0,0,0,1
7972000,7972000,1310988,0.24899697,-0.045489833,-9.749189,11.832275,0,0,0,0,1
8972000,8972000,1310988,0.0,-0.055066638,-9.7563715,11.832275,0,0,0,0,1
9972000,9972000,1310988,0.12928689,0.021547815,-9.818622,11.832275,0,0,0,0,1
10972000,10972000,1310988,0.074220255,-0.04070143,-9.842564,11.832275,0,0,0,0,1
11972000,11972000,1310988,0.08140286,-0.04070143,-9.768343,11.832275,0,0,0,0,1
12972000,12972000,1310988,0.15083471,-0.04309563,-9.825804,11.832275,0,0,0,0,1
13972000,13972000,1310988,0.08619126,0.023942016,-9.787497,11.832275,0,0,0,0,1
14972000,14972000,1310988,0.15083471,0.055066638,-9.720459,11.832275,0,0,0,0,1
15972000,15972000,1310988,0.110133275,0.021547815,-9.706094,11.832275,0,0,0,0,1
16972000,16972000,1310988,0.10055647,-0.019153614,-9.809045,11.832275,0,0,0,0,1
17972000,17972000,1310988,0.1340753,-0.01436521,-9.679757,11.832275,0,0,0,0,1
18972000,18972000,1310988,0.08379706,-0.05746084,-9.768343,11.832275,0,0,0,0,1
19972000,19972000,1310988,0.18914193,0.05267244,-9.818622,11.832275,0,0,0,0,1
20972000,20972000,1310988,0.05267244,-0.045489833,-9.710882,11.832275,0,0,0,0,1
21972000,21972000,1310988,0.1412579,-0.031124622,-9.797073,11.832275,0,0,0,0,1
22972000,22972000,1310988,0.079008654,0.021547815,-9.794679,11.832275,0,0,0,0,1
23972000,23972000,1310988,0.06703765,-0.095768064,-9.830592,11.832275,0,0,0,0,1
24972000,24972000,1310988,0.23223756,0.023942016,-9.715671,11.832275,0,0,0,0,1
25972000,25972000,1310988,0.08619126,-0.04309563,-9.840169,11.832275,0,0,0,0,1
26972000,26972000,1310988,0.15322891,-0.076614454,-9.660604,11.832275,0,0,0,0,1
27972000,27972000,1310988,0.1412579,-0.04309563,-9.734824,11.832275,0,0,0,0,1
28972000,28972000,1310988,0.019153614,-0.04070143,-9.715671,11.832275,0,0,0,0,1
29972000,29972000,1310988,0.10295067,0.0047884034,-9.818622,11.832275,0,0,0,0,1
30972000,30972000,1310988,0.035913024,-0.02633622,-9.7803135,11.832275,0,0,0,0,1
31972000,31972000,1310988,0.076614454,-0.076614454,-9.797073,11.832275,0,0,0,0,1
32972000,32972000,1310988,0.038307227,-0.02873042,-9.7324295,11.832275,0,0,0,0,1
33972000,33972000,1310988,0.02873042,-0.074220255,-9.797073,11.832275,0,0,0,0,1
34972000,34972000,1310988,0.06464344,-0.050278235,-9.646238,11.832275,0,0,0,0,1
35972000,35972000,1310988,0.1364695,-0.023942016,-9.694122,11.832275,0,0,0,0,1
36972000,36972000,1310988,0.059855044,0.01436521,-9.7324295,11.832275,0,0,0,0,1
37972000,37972000,1310988,0.016759412,0.035913024,-9.655815,11.832275,0,0,0,0,1
38972000,38972000,1310988,0.007182605,-0.047884032,-9.758766,11.832275,0,0,0,0,1
39972000,39972000,1310988,0.1388637,-0.050278235,-9.667787,11.832275,0,0,0,0,1
40972000,40972000,1310988,0.076614454,-0.062249243,-9.682152,11.832275,0,0,0,0,1
41972000,41972000,1310988,0.011971008,-0.02633622,-9.765948,11.832275,0,0,0,0,1
