timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
972000,972000,1310988,0.093373865,-0.045489833,-9.842564,11.832275,0,0,0,0,1
1972000,1972000,1310988,0.08619126,-0.031124622,-9.739613,11.832275,0,0,0,0,1
2972000,2972000,1310988,0.10295067,-0.062249243,-9.835381,11.832275,0,0,0,0,1
3972000,3972000,1310988,0.07182605,-0.050278235,-9.773131,11.832275,0,0,0,0,1
4972000,4972000,1310988,0.08379706,-0.045489833,-9.758766,11.832275,0,0,0,0,1
5972000,5972000,1310988,0.1340753,0.019153614,-9.773131,11.832275,0,0,0,0,1
6972000,6972000,1310988,0.10295067,-0.02873042,-9.794679,11.832275,0,0,0,0,1
7972000,7972000,1310988,0.062249243,-0.038307227,-9.825804,11.832275,0,0,0,0,1
8972000,8972000,1310988,0.12449849,-0.08140286,-9.765948,11.832275,0,0,0,0,1
9972000,9972000,1310988,0.05746084,-0.06943185,-9.77792,11.832275,0,0,0,0,1
10972000,10972000,1310988,0.15801731,-0.088585466,-9.7803135,11.832275,0,0,0,0,1
11972000,11972000,1310988,0.062249243,0.0047884034,-9.856929,11.832275,0,0,0,0,1
12972000,12972000,1310988,0.16280572,-0.06464344,-9.809045,11.832275,0,0,0,0,1
13972000,13972000,1310988,0.04309563,-0.02873042,-9.78989,11.832275,0,0,0,0,1
14972000,14972000,1310988,0.12210429,-0.088585466,-9.742006,11.832275,0,0,0,0,1
15972000,15972000,1310988,0.1604115,-0.076614454,-9.751583,11.832275,0,0,0,0,1
16972000,16972000,1310988,0.021547815,-0.045489833,-9.744401,11.832275,0,0,0,0,1
17972000,17972000,1310988,0.1364695,-0.035913024,-9.749189,11.832275,0,0,0,0,1
18972000,18972000,1310988,0.19632454,-0.016759412,-9.782708,11.832275,0,0,0,0,1
19972000,19972000,1310988,0.076614454,-0.062249243,-9.727641,11.832275,0,0,0,0,1
20972000,20972000,1310988,0.038307227,-0.033518825,-9.737218,11.832275,0,0,0,0,1
21972000,21972000,1310988,0.14604631,-0.023942016,-9.7324295,11.832275,0,0,0,0,1
22972000,22972000,1310988,0.076614454,-0.07182605,-9.78989,11.832275,0,0,0,0,1
23972000,23972000,1310988,0.088585466,-0.035913024,-9.689334,11.832275,0,0,0,0,1
24972000,24972000,1310988,0.12210429,0.0,-9.765948,11.832275,0,0,0,0,1
25972000,25972000,1310988,0.16998832,-0.09816227,-9.78989,11.832275,0,0,0,0,1
26972000,26972000,1310988,0.04309563,-0.045489833,-9.794679,11.832275,0,0,0,0,1
27972000,27972000,1310988,0.02633622,0.076614454,-9.703699,11.832275,0,0,0,0,1
28972000,28972000,1310988,0.059855044,-0.05267244,-9.655815,11.832275,0,0,0,0,1
29972000,29972000,1310988,0.06464344,-0.009576807,-9.792285,11.832275,0,0,0,0,1
30972000,30972000,1310988,0.093373865,-0.038307227,-9.7803135,11.832275,0,0,0,0,1
31972000,31972000,1310988,0.055066638,-0.02633622,-9.753978,11.832275,0,0,0,0,1
32972000,32972000,1310988,0.062249243,-0.050278235,-9.696517,11.832275,0,0,0,0,1
33972000,33972000,1310988,0.035913024,0.023942016,-9.751583,11.832275,0,0,0,0,1
34972000,34972000,1310988,0.06464344,-0.055066638,-9.677363,11.832275,0,0,0,0,1
35972000,35972000,1310988,0.08619126,0.0,-9.758766,11.832275,0,0,0,0,1
36972000,36972000,1310988,0.02873042,-0.016759412,-9.734824,11.832275,0,0,0,0,1
37972000,37972000,1310988,0.08619126,-0.062249243,-9.643845,11.832275,0,0,0,0,1
38972000,38972000,1310988,0.08619126,-0.023942016,-9.677363,11.832275,0,0,0,0,1
39972000,39972000,1310988,-0.01436521,-0.033518825,-9.624691,11.832275,0,0,0,0,1
40972000,40972000,1310988,0.06464344,-0.04309563,-9.698911,11.832275,0,0,0,0,1
41972000,41972000,1310988,0.04309563,-0.02873042,-9.694122,11.832275,0,0,0,0,1
42972000,42972000,1310988,-0.009576807,-0.0047884034,-9.720459,11.832275,0,0,0,0,1
43972000,43972000,1310988,0.09816227,-0.06943185,-9.674969,11.832275,0,0,0,0,1
44972000,44972000,1310988,0.033518825,-0.04309563,-9.758766,11.832275,0,0,0,0,1
45972000,45972000,1310988,0.1340753,-0.074220255,-9.722853,11.832275,0,0,0,0,1
46972000,46972000,1310988,-0.016759412,-0.011971008,-9.706094,11.832275,0,0,0,0,1
47972000,47972000,1310988,0.076614454,0.035913024,-9.677363,11.832275,0,0,0,0,1
48972000,48972000,1310988,0.021547815,-0.074220255,-9.689334,11.832275,0,0,0,0,1
49972000,49972000,1310988,-0.023942016,-0.05746084,-9.634268,11.832275,0,0,0,0,1
50972000,50972000,1310988,0.038307227,-0.035913024,-9.691729,11.832275,0,0,0,0,1
51972000,51972000,1310988,0.019153614,0.06464344,-9.696517,11.832275,0,0,0,0,1
52972000,52972000,1310988,0.10295067,-0.02633622,-9.715671,11.832275,0,0,0,0,1
53972000,53972000,1310988,0.0,-0.08379706,-9.706094,11.832275,0,0,0,0,1
54972000,54972000,1310988,0.011971008,-0.06703765,-9.68694,11.832275,0,0,0,0,1
55972000,55972000,1310988,0.038307227,0.019153614,-9.629479,11.832275,0,0,0,0,1
56972000,56972000,1310988,0.031124622,-0.074220255,-9.653421,11.832275,0,0,0,0,1
57972000,57972000,1310988,0.06464344,-0.007182605,-9.629479,11.832275,0,0,0,0,1
58972000,58972000,1310988,0.062249243,0.016759412,-9.65821,11.832275,0,0,0,0,1
59972000,59972000,1310988,-0.023942016,-0.009576807,-9.631873,11.832275,0,0,0,0,1
60972000,60972000,1310988,0.050278235,-0.055066638,-9.725247,11.832275,0,0,0,0,1
61972000,61972000,1310988,-0.07182605,-0.12449849,-9.610326,11.832275,0,0,0,0,1
62972000,62972000,1310988,0.031124622,-0.050278235,-9.581595,11.832275,0,0,0,0,1
63972000,63972000,1310988,0.02633622,-0.10055647,-9.574412,11.832275,0,0,0,0,1
64972000,64972000,1310988,0.1364695,-0.079008654,-9.562442,11.832275,0,0,0,0,1
65972000,65972000,1310988,0.011971008,-0.023942016,-9.701305,11.832275,0,0,0,0,1
66972000,66972000,1310988,0.0047884034,-0.045489833,-9.593566,11.832275,0,0,0,0,1
67972000,67972000,1310988,0.08619126,-0.021547815,-9.67018,11.832275,0,0,0,0,1
68972000,68972000,1310988,0.12210429,-0.11252748,-9.629479,11.832275,0,0,0,0,1
69972000,69972000,1310988,0.05746084,-0.02873042,-9.734824,11.832275,0,0,0,0,1
70972000,70972000,1310988,-0.0023942017,-0.055066638,-9.68694,11.832275,0,0,0,0,1
71972000,71972000,1310988,0.055066638,-0.007182605,-9.636662,11.832275,0,0,0,0,1
72972000,72972000,1310988,0.093373865,-0.055066638,-9.662998,11.832275,0,0,0,0,1
73972000,73972000,1310988,0.01436521,-0.12210429,-9.674969,11.832275,0,0,0,0,1
74972000,74972000,1310988,0.023942016,-0.019153614,-9.694122,11.832275,0,0,0,0,1
75972000,75972000,1310988,-0.009576807,-0.12210429,-9.629479,11.832275,0,0,0,0,1
76972000,76972000,1310988,0.04309563,-0.045489833,-9.715671,11.832275,0,0,0,0,1
77972000,77972000,1310988,0.023942016,-0.033518825,-9.624691,11.832275,0,0,0,0,1
78972000,78972000,1310988,0.009576807,-0.045489833,-9.636662,11.832275,0,0,0,0,1
79972000,79972000,1310988,0.007182605,-0.08379706,-9.713276,11.832275,0,0,0,0,1
80972000,80972000,1310988,0.045489833,-0.009576807,-9.605537,11.832275,0,0,0,0,1
81972000,81972000,1310988,0.0023942017,-0.06703765,-9.689334,11.832275,0,0,0,0,1
82972000,82972000,1310988,-0.055066638,-0.05746084,-9.667787,11.832275,0,0,0,0,1
83972000,83972000,1310988,0.050278235,-0.09816227,-9.674969,11.832275,0,0,0,0,1
84972000,84972000,1310988,0.033518825,-0.06943185,-9.677363,11.832275,0,0,0,0,1
85972000,85972000,1310988,0.05746084,-0.06943185,-9.643845,11.832275,0,0,0,0,1
86972000,86972000,1310988,0.095768064,-0.076614454,-9.691729,11.832275,0,0,0,0,1
87972000,87972000,1310988,0.0047884034,-0.074220255,-9.651027,11.832275,0,0,0,0,1
88972000,88972000,1310988,0.10055647,-0.11731588,-9.7563715,11.832275,0,0,0,0,1
89972000,89972000,1310988,0.0023942017,-0.11731588,-9.639056,11.832275,0,0,0,0,1
90972000,90972000,1310988,0.047884032,-0.1340753,-9.591172,11.832275,0,0,0,0,1
91972000,91972000,1310988,0.016759412,-0.05746084,-9.634268,11.832275,0,0,0,0,1
92972000,92972000,1310988,0.04309563,-0.1412579,-9.725247,11.832275,0,0,0,0,1
93972000,93972000,1310988,0.02873042,-0.12928689,-9.782708,11.832275,0,0,0,0,1
94972000,94972000,1310988,-0.074220255,-0.062249243,-9.753978,11.832275,0,0,0,0,1
95972000,95972000,1310988,-0.007182605,-0.059855044,-9.722853,11.832275,0,0,0,0,1
96972000,96972000,1310988,0.0,-0.08619126,-9.689334,11.832275,0,0,0,0,1
97972000,97972000,1310988,0.05267244,-0.11492168,-9.591172,11.832275,0,0,0,0,1
98972000,98972000,1310988,0.038307227,-0.076614454,-9.624691,11.832275,0,0,0,0,1
