,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_pressure,baro_temperature,gps_lat,gps_lon,gps_alt,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,mag_x,mag_y,mag_z,nav_cmd
119,0.025566347,-0.033023197,-0.02396845,0.51954174,-0.047884032,-8.889671,953.686,11.69989,473977480,85465254,507951,0.45,12.469999,-3.5,-0.083259754,-0.22809948,0.4245084,
120,0.011717909,-0.0005326322,-0.006924219,1.3000516,-0.04070143,-9.323022,953.31793,11.679779,473977515,85466519,510511,0.48999998,11.469999,-3.04,-0.07125337,-0.22095373,0.43069103,
121,-0.0026631611,0.004261058,0.0031957934,1.6639702,-0.11492168,-9.483433,953.0183,11.661438,473977573,85468294,513936,0.55,10.76,-2.75,-0.07449056,-0.21689032,0.42416042,
122,-0.0026631611,0.012250541,-0.006924219,1.9680338,0.02873042,-9.528923,953.0183,11.661438,473977613,85469421,516135,0.53999996,10.53,-2.74,-0.07197446,-0.21830082,0.42146286,
123,-0.028229509,0.007989483,-0.020772656,2.0614076,-0.07182605,-9.576807,952.35016,11.625549,473977674,85471096,519484,0.59,10.37,-2.78,-0.075741574,-0.21854274,0.41778004,
124,-0.27057716,0.29294774,-0.28336033,2.2002714,-0.7254431,-11.69807,952.0519,11.606781,473977728,85472190,521721,1.3299999,10.19,-2.8899999,0.024875753,-0.3833196,0.28465757,
125,0.06178534,0.4016047,-0.6562029,2.4468741,0.11492168,-11.575965,952.0519,11.606781,473978223,85473598,525229,7.71,6.79,-2.6699998,0.079028696,-0.39193308,0.2748155,
126,0.16298546,0.22903186,-0.5656554,2.6144683,0.40701428,-11.293449,951.44403,11.572174,473978910,85474059,527260,10.74,1.3,-2.48,0.12150626,-0.29463005,0.35834554,16.0
127,-0.098004326,0.5789712,-0.3930826,1.1851299,-0.23463176,-14.611813,951.3556,11.567413,473980107,85473595,528920,10.719999,-7.19,0.04,0.18184532,-0.18625775,0.40607393,
128,-0.02609898,0.7451525,-0.44101948,0.7086837,-0.10055647,-17.07784,951.3556,11.567413,473980695,85472457,529056,4.5499997,-13.42,-0.58,-0.032296356,-0.1738411,0.4451915,
129,0.17150758,0.62264705,-0.42290998,1.0342951,0.34476504,-15.5359745,951.101,11.552582,473980390,85470296,530786,-9.719999,-11.0199995,-2.1599998,-0.23058614,-0.20607992,0.3629157,
130,0.36272255,0.3387541,-0.33182988,1.1971009,0.7302315,-12.727576,950.7882,11.535431,473979484,85469507,532767,-14.32,-3.59,-2.6799998,-0.29535052,-0.22867028,0.28623864,
131,0.37284255,-0.0644485,-0.23116238,0.23702596,0.45489833,-8.248025,950.4961,11.518066,473977926,85469655,536133,-13.74,3.98,-2.29,-0.25197545,-0.21083514,0.34456092,
132,0.23648871,-0.056459017,-0.09960223,-0.076614454,0.40222588,-8.978256,950.36804,11.510529,473976961,85470176,537396,-13.03,5.45,-0.93,-0.20314422,-0.11714928,0.4238502,
133,0.10066749,-0.00958738,0.0314253,-0.2657564,0.25139117,-9.540894,950.339,11.508331,473975560,85471073,537973,-13.11,5.48,-0.25,-0.17786343,-0.048340864,0.44239226,
134,0.002130529,0.010120012,0.06018744,-0.30645782,-0.06464344,-9.665392,950.3085,11.507507,473974597,85471621,538092,-13.49,4.68,-0.11,-0.1889302,-0.012596069,0.4345472,
135,-0.036218993,0.00479369,0.06977482,-0.37110126,-0.04070143,-9.593566,950.3061,11.507233,473973113,85472255,538170,-13.969999,3.32,0.01,-0.18757248,-0.017518897,0.4434622,
136,-0.033023197,0.002130529,0.04261058,-0.47644615,-0.08619126,-9.727641,950.3011,11.50705,473972093,85472572,538192,-14.17,2.6499999,-0.01,-0.1905711,-0.017779756,0.43762398,
137,-0.02609898,0.0015978967,0.010120012,-0.4237737,0.01436521,-9.52174,950.28546,11.506775,473970557,85472945,538238,-14.24,2.11,-0.07,-0.19404678,-0.024300782,0.44571635,
138,-0.017044231,0.0063915867,0.007989483,-0.5530606,-0.110133275,-9.67018,950.3086,11.506653,473969523,85473162,538258,-14.259999,1.9599999,0.049999997,-0.1910748,-0.0341463,0.43650922,
139,0.0,0.0026631611,-0.0031957934,-0.5530606,0.0047884034,-9.622296,950.30524,11.506683,473967983,85473472,538276,-14.28,1.91,-0.03,-0.18791233,-0.032427672,0.43613198,
140,0.0031957934,-0.0053263223,0.0010652645,-0.5410896,0.016759412,-9.52174,950.30524,11.506683,473966946,85473682,538272,-14.28,1.9599999,-0.02,-0.19454035,-0.04134002,0.4372669,
141,0.0026631611,-0.0037284256,0.0026631611,-0.45010993,0.019153614,-9.667787,950.2836,11.506561,473965405,85473999,538278,-14.299999,2.0,0.01,-0.194383,-0.039848235,0.44072142,
142,0.0010652645,0.0015978967,-0.0037284256,-0.5554548,-0.031124622,-9.617508,950.287,11.506439,473964366,85474214,538284,-14.33,2.01,0.02,-0.19624361,-0.032894984,0.43028393,
143,-0.0037284256,-0.0015978967,-0.0031957934,-0.46447513,0.011971008,-9.519346,950.2831,11.506256,473962826,85474528,538322,-14.259999,1.9599999,0.03,-0.19139118,-0.03215735,0.4360918,
144,-0.0037284256,0.0015978967,-0.002130529,-0.45968673,0.021547815,-9.598354,950.2917,11.506348,473961790,85474738,538320,-14.259999,1.9599999,-0.02,-0.18694296,-0.038097993,0.44300348,
