,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,pressure,temperature,lat,lon,alt,vel_n_m_s,vel_e_m_s,vel_d_m_s,mag_x,mag_y,mag_z
312,-0.0037284256,0.09374327,0.007456851,1.0893618,-0.06464344,-10.670957,951.3159,11.564697,474004283,85797970,529349,-7.89,-7.19,0.0,-0.13931404,0.14613026,0.4377109
313,0.0,-0.11345066,-0.0037284256,-1.1587936,-0.05267244,-8.520964,951.26575,11.562134,474003417,85796803,529687,-7.87,-7.2,-0.35,-0.14594854,0.13232039,0.4374642
314,0.0063915867,-0.05539375,-0.0037284256,-1.2210429,-0.038307227,-9.100361,951.3238,11.564941,474002855,85796047,529598,-7.69,-6.94,0.61,-0.10495362,0.13274749,0.45467067
315,0.0063915867,0.024501082,-0.0015978967,-1.2449849,-0.088585466,-9.976639,951.42773,11.571777,474002010,85794921,528455,-8.04,-7.22,1.04,-0.09473519,0.1323642,0.45420247
316,0.0031957934,-0.0037284256,0.0031957934,-1.4820108,-0.050278235,-9.605537,951.42773,11.571777,474001417,85794134,527685,-8.28,-7.4199996,0.85999995,-0.102841966,0.13566627,0.4460562
317,0.0,-0.020772656,0.0026631611,-1.42455,-0.08140286,-9.49301,951.6552,11.583801,474000521,85792942,526591,-8.349999,-7.52,0.97999996,-0.09520131,0.14750513,0.44827372
318,0.0015978967,-0.017576864,0.004261058,-1.5873557,-0.17956513,-9.476251,951.7963,11.591248,473999912,85792130,525737,-8.45,-7.6299996,1.13,-0.08965048,0.12766252,0.45473254
319,-0.0015978967,0.0010652645,0.0015978967,-1.6089035,-0.14844051,-9.694122,951.7963,11.591248,473998989,85790899,524231,-8.65,-7.81,1.3299999,-0.08188124,0.13686322,0.45910206
320,0.004261058,0.0010652645,-0.0037284256,-1.733402,-0.06943185,-9.572019,952.0791,11.608246,473998358,85790054,523151,-8.76,-7.94,1.35,-0.09691603,0.14024317,0.45618227
321,0.0037284256,-0.004261058,0.002130529,-1.7549498,-0.05267244,-9.593566,952.2461,11.616882,473997405,85788782,521579,-8.9,-8.01,1.29,-0.0905866,0.13763818,0.45230073
322,-0.0010652645,0.0026631611,0.0010652645,-1.7717092,-0.05267244,-9.481039,952.2461,11.616882,473996760,85787921,520512,-8.9,-8.07,1.28,-0.08460036,0.13093352,0.44514093
323,0.00958738,-0.002130529,-0.0005326322,-1.7812861,-0.16998832,-9.560047,952.5342,11.634399,473995796,85786633,518884,-8.97,-8.11,1.31,-0.08545694,0.13589564,0.45535165
324,0.0031957934,0.00479369,0.0031957934,-1.7788919,-0.1340753,-9.552865,952.6991,11.643524,473995145,85785762,517769,-8.97,-8.13,1.38,-0.07952373,0.12859268,0.44947064
325,0.004261058,0.0,-0.0015978967,-1.8938135,-0.02633622,-9.526528,952.6991,11.643524,473994174,85784462,516108,-9.0,-8.15,1.3199999,-0.08532005,0.1434787,0.4513544
326,0.0031957934,0.00479369,-0.0058589545,-1.8746599,0.033518825,-9.615114,953.02765,11.661682,473993521,85783585,514977,-9.01,-8.2,1.4,-0.08428867,0.13672483,0.45273095
327,0.0005326322,-0.004261058,0.00479369,-1.9752164,-0.05746084,-9.552865,953.1696,11.671112,473992546,85782276,513274,-9.09,-8.21,1.4399999,-0.08335667,0.13043664,0.44391164
328,-0.0037284256,0.0,0.0053263223,-1.8962077,-0.1388637,-9.646238,953.1696,11.671112,473991890,85781394,512103,-9.07,-8.24,1.4599999,-0.08137869,0.12953353,0.45001727
329,0.009054748,-0.0053263223,-0.0010652645,-2.0039468,-0.074220255,-9.569624,953.5246,11.690002,473990909,85780083,510354,-9.12,-8.24,1.52,-0.082428426,0.13029405,0.45748046
330,0.008522116,0.0037284256,-0.0031957934,-1.8171991,-0.10055647,-9.548077,953.7057,11.699646,473990247,85779203,509165,-9.16,-8.19,1.48,-0.08109148,0.13447642,0.45724517
331,0.004261058,-0.0058589545,0.0015978967,-1.8794483,-0.06703765,-9.504981,953.86523,11.709076,473989258,85777896,507402,-9.2,-8.19,1.51,-0.08666341,0.14254257,0.45414662
332,0.00958738,0.0010652645,0.007989483,-1.9129672,-0.011971008,-9.512163,954.0292,11.718842,473988591,85777018,506207,-9.179999,-8.2,1.52,-0.08667152,0.13712737,0.4521072
333,-0.0015978967,0.0010652645,0.0037284256,-1.958457,-0.090979666,-9.61272,954.19226,11.728729,473987601,85775707,504419,-9.16,-8.25,1.4699999,-0.083283715,0.13587107,0.45481545
334,-0.0037284256,0.0026631611,-0.002130529,-2.0015526,-0.02873042,-9.610326,954.19226,11.728729,473986936,85774821,503196,-9.17,-8.2699995,1.51,-0.08215286,0.14157824,0.44838613
335,0.002130529,-0.0063915867,-0.0015978967,-1.9249382,-0.02873042,-9.56723,954.5656,11.748505,473985949,85773497,501361,-9.139999,-8.309999,1.53,-0.076767385,0.14210035,0.45553866
336,0.0026631611,-0.0037284256,0.0010652645,-1.9081788,-0.11252748,-9.564836,954.715,11.758545,473985285,85772604,500142,-9.139999,-8.33,1.52,-0.08283527,0.13765717,0.45241296
