,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_pressure,baro_temperature,gps_lat,gps_lon,gps_alt,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,mag_x,mag_y,mag_z,nav_cmd
0,0.0010652645,0.0010652645,-0.0010652645,0.02633622,-0.0023942017,-9.813833,956.01776,11.832275,473977508.0,85456073.0,488180.0,0.0,0.0,-0.02,0.009184782,-0.21390691,0.42928576,
1,-0.0015978967,0.0037284256,0.0058589545,0.023942016,-0.06703765,-9.773131,956.0196,11.832275,473977508.0,85456073.0,488180.0,0.0,0.0,-0.02,0.004433717,-0.21885115,0.43031004,
2,0.0005326322,0.0,0.002130529,0.05267244,-0.062249243,-9.787497,956.024,11.832275,473977508.0,85456073.0,488171.0,0.0,0.0,-0.04,0.00838498,-0.20796937,0.43103603,
3,0.0010652645,0.0063915867,0.0,0.033518825,-0.01436521,-9.773131,956.0358,11.832275,473977508.0,85456073.0,488178.0,0.0,0.01,0.02,-8.204651e-05,-0.21220139,0.4317852,
4,-0.0026631611,-0.0010652645,0.0010652645,0.02633622,-0.007182605,-9.821015,956.02374,11.832275,473977508.0,85456073.0,488170.0,-0.01,-0.01,0.03,0.007337471,-0.21887538,0.42678767,
5,0.004261058,-0.00479369,0.0026631611,0.11971009,-0.01436521,-9.80665,956.0056,11.832275,473977508.0,85456073.0,488170.0,-0.01,-0.01,0.03,0.009974529,-0.21480213,0.42983687,
6,0.0010652645,0.006924219,-0.004261058,0.011971008,-0.011971008,-9.77792,956.0342,11.832275,473977508.0,85456072.0,488162.0,-0.01,0.0,0.0,0.011702939,-0.22113489,0.43178496,
7,-0.002130529,-0.0031957934,-0.0010652645,0.055066638,-0.08379706,-9.751583,956.0342,11.832275,473977508.0,85456072.0,488162.0,-0.01,0.0,0.0,0.008954903,-0.2104566,0.42854637,
8,0.002130529,-0.004261058,-0.0005326322,0.1388637,0.04070143,-9.744401,956.02386,11.832275,473977507.0,85456073.0,488178.0,0.02,0.01,0.0,0.010395792,-0.21617398,0.42460433,
9,0.0010652645,-0.007456851,0.0,0.15083471,-0.02633622,-9.809045,956.01086,11.832275,473977507.0,85456073.0,488178.0,0.02,0.01,0.0,0.008452239,-0.21564129,0.42470625,
10,0.0015978967,0.0026631611,0.0037284256,0.11971009,-0.007182605,-9.7324295,956.0232,11.832275,473977508.0,85456073.0,488179.0,0.02,0.0,0.03,0.008300755,-0.2174437,0.42310444,
11,-0.008522116,-0.004261058,-0.004261058,-0.02633622,-0.04070143,-9.801862,956.02344,11.832275,473977508.0,85456073.0,488176.0,0.02,0.0,-0.02,-0.0032431448,-0.21729499,0.43501535,
12,0.0015978967,0.0063915867,-0.0058589545,0.1604115,0.0,-9.840169,956.0177,11.832275,473977508.0,85456072.0,488167.0,0.0,0.0,0.01,0.008032365,-0.21548976,0.42941472,
13,-0.002130529,0.0,-0.0010652645,0.047884032,-0.035913024,-9.751583,956.031,11.832275,473977508.0,85456072.0,488167.0,0.0,0.0,0.01,0.009278687,-0.21776316,0.42819026,
14,-0.0031957934,-0.002130529,0.0031957934,2.231396,-0.016759412,-9.785102,956.02045,11.832275,473977508.0,85456072.0,488173.0,-0.01,-0.01,-0.049999997,0.009216105,-0.2112495,0.43541464,22.0
15,-0.00479369,0.4063984,-0.075101145,6.7492547,0.110133275,-16.709133,956.0247,11.831848,473977508.0,85456072.0,488173.0,-0.01,-0.01,-0.049999997,0.010822999,-0.21048847,0.43926296,
16,-0.004261058,0.09853696,0.0026631611,3.7780502,-0.031124622,-11.374852,955.61273,11.809082,473977477.0,85458529.0,490271.0,-0.39,17.5,-4.95,-0.10916738,-0.21206258,0.42378762,
17,-0.015446335,0.006924219,0.007456851,2.9352913,-0.08619126,-9.552865,954.86395,11.767303,473977431.0,85461395.0,497663.0,-0.32,18.14,-6.6499996,-0.11873022,-0.22204687,0.40878794,
18,0.011717909,-0.05006743,-0.019707393,-1.2354081,0.04309563,-8.279149,954.1868,11.728851,473977417.0,85463212.0,502594.0,-0.08,15.82,-5.48,-0.09978253,-0.2253077,0.40208343,
19,0.016511599,-0.026631612,-0.013848438,0.5554548,0.007182605,-9.074024,953.74194,11.703247,473977417.0,85463212.0,502594.0,-0.08,15.82,-5.48,-0.08394401,-0.22001389,0.41907987,
20,0.0005326322,0.0005326322,-0.004261058,1.3215994,-0.0047884034,-9.497798,953.39905,11.683258,473977433.0,85466728.0,510290.0,0.17999999,11.65,-2.9399998,-0.07034772,-0.21635151,0.4237716,
21,0.0037284256,0.0010652645,0.0053263223,1.7908629,0.08140286,-9.655815,953.0924,11.66507,473977433.0,85466728.0,510290.0,0.17999999,11.65,-2.9399998,-0.071528226,-0.21576262,0.4183074,
22,-0.0010652645,0.0026631611,-0.0015978967,2.0015526,-0.05746084,-9.514558,953.0924,11.66507,473977460.0,85469693.0,515856.0,0.11,10.82,-2.78,-0.076450355,-0.2120544,0.41628203,
23,-0.0053263223,0.007989483,-0.0053263223,2.195483,-0.04070143,-9.646238,952.43726,11.62912,473977472.0,85471422.0,519212.0,0.099999994,10.74,-2.84,-0.08399743,-0.21808575,0.42425728,
24,0.0053263223,0.00958738,-0.0005326322,2.207454,0.035913024,-9.56723,952.1206,11.610382,473977480.0,85472560.0,521466.0,0.12,10.76,-2.86,-0.08512826,-0.21188569,0.42198393,
25,0.0053263223,0.0053263223,0.0026631611,2.2697031,0.07182605,-9.574412,951.77264,11.591736,473977480.0,85472560.0,521466.0,0.12,10.76,-2.86,-0.0808282,-0.22060575,0.4206942,
