timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
696000,1655588184065886,0,473977508,85456073,488180,488180,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.84648466,0,nan,nan,0,3,0,1,10
1896000,1655588185265886,0,473977508,85456073,488170,488170,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,5.82556,0,nan,nan,0,3,0,1,10
2696000,1655588186069886,0,473977508,85456073,488171,488171,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,0.9723229,0,nan,nan,0,3,0,1,10
3892000,1655588187265886,0,473977508,85456073,488178,488178,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.3622293,0,nan,nan,0,3,0,1,10
4696000,1655588188069886,0,473977508,85456073,488170,488170,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,0.03,4.115137,0,nan,nan,0,3,0,1,10
5896000,1655588189265886,0,473977508,85456073,488174,488174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.5748568,0,nan,nan,0,3,0,1,10
6696000,1655588190065886,0,473977508,85456072,488160,488160,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.01,-0.03,2.5195572,0,nan,nan,0,3,0,1,10
7896000,1655588191265886,0,473977508,85456073,488165,488165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.5794493,0,nan,nan,0,3,0,1,10
8696000,1655588192065886,0,473977507,85456073,488178,488178,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.555162,0,nan,nan,0,3,0,1,10
9892000,1655588193265886,0,473977508,85456073,488172,488172,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.865105,0,nan,nan,0,3,0,1,10
10696000,1655588194065886,0,473977508,85456073,488178,488178,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.727077,0,nan,nan,0,3,0,1,10
11896000,1655588195265886,0,473977508,85456073,488177,488177,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.03,3.7936475,0,nan,nan,0,3,0,1,10
12692000,1655588196065886,0,473977508,85456072,488167,488167,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.9061749,0,nan,nan,0,3,0,1,10
13896000,1655588197269886,0,473977508,85456072,488169,488169,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.136853,0,nan,nan,0,3,0,1,10
14696000,1655588198065886,0,473977508,85456072,488173,488173,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,-0.049999997,3.827856,0,nan,nan,0,3,0,1,10
15892000,1655588199269886,0,473977508,85456073,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.01,6.0327306,0,nan,nan,0,3,0,1,10
16696000,1655588200065886,0,473977508,85456073,488166,488166,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.03,5.969026,0,nan,nan,0,3,0,1,10
17896000,1655588201269886,0,473977508,85456073,488175,488175,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,3.3213615,0,nan,nan,0,3,0,1,10
18696000,1655588202065886,0,473977508,85456073,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,3.552443,0,nan,nan,0,3,0,1,10
19896000,1655588203269886,0,473977508,85456073,488175,488175,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.9034288,0,nan,nan,0,3,0,1,10
20696000,1655588204065886,0,473977508,85456072,488173,488173,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.02,-0.01,0.97424275,0,nan,nan,0,3,0,1,10
21892000,1655588205269886,0,473977508,85456073,488162,488162,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,2.105216,0,nan,nan,0,3,0,1,10
22692000,1655588206065886,0,473977508,85456072,488174,488174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.02,4.525115,0,nan,nan,0,3,0,1,10
23896000,1655588207269886,0,473977508,85456073,488174,488174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,1.2817698,0,nan,nan,0,3,0,1,10
24696000,1655588208065886,0,473977509,85456072,488160,488160,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.01,1.2442452,0,nan,nan,0,3,0,1,10
25896000,1655588209269886,0,473977508,85456073,488175,488175,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.04,0.19024087,0,nan,nan,0,3,0,1,10
26696000,1655588210065886,0,473977508,85456073,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,6.051231,0,nan,nan,0,3,0,1,10
27896000,1655588211269886,0,473977508,85456073,488177,488177,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.07,4.2615705,0,nan,nan,0,3,0,1,10
28692000,1655588212065886,0,473977508,85456073,488170,488170,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.844813,0,nan,nan,0,3,0,1,10
29892000,1655588213265886,0,473977508,85456073,488160,488160,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.04,5.8112483,0,nan,nan,0,3,0,1,10
30692000,1655588214065886,0,473977508,85456073,488156,488156,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.099999994,5.1106734,0,nan,nan,0,3,0,1,10
31896000,1655588215265886,0,473977508,85456073,488164,488164,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.04,5.5559063,0,nan,nan,0,3,0,1,10
32692000,1655588216065886,0,473977508,85456073,488170,488170,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.03,0.5237733,0,nan,nan,0,3,0,1,10
33892000,1655588217265886,0,473977508,85456072,488170,488170,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.5800192,0,nan,nan,0,3,0,1,10
34692000,1655588218065886,0,473977508,85456073,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,-0.01,1.2850859,0,nan,nan,0,3,0,1,10
35896000,1655588219265886,0,473977508,85456073,488183,488183,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.8058376,0,nan,nan,0,3,0,1,10
36692000,1655588220065886,0,473977508,85456073,488177,488177,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.8644805,0,nan,nan,0,3,0,1,10
37892000,1655588221265886,0,473977508,85456073,488164,488164,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.44401175,0,nan,nan,0,3,0,1,10
38696000,1655588222065886,0,473977508,85456072,488178,488178,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.1487757,0,nan,nan,0,3,0,1,10
39896000,1655588223265886,0,473977508,85456072,488176,488176,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.3107423,0,nan,nan,0,3,0,1,10
40696000,1655588224065886,0,473977508,85456073,488164,488164,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,-0.01,5.5412455,0,nan,nan,0,3,0,1,10
41896000,1655588225265886,0,473977508,85456073,488164,488164,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.4014993,0,nan,nan,0,3,0,1,10
42696000,1655588226065886,0,473977508,85456073,488166,488166,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.8710666,0,nan,nan,0,3,0,1,10
43892000,1655588227265886,0,473977508,85456073,488165,488165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.04,1.3119639,0,nan,nan,0,3,0,1,10
44692000,1655588228065886,0,473977508,85456073,488176,488176,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,2.0837486,0,nan,nan,0,3,0,1,10
45892000,1655588229265886,0,473977508,85456073,488165,488165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.15236723,0,nan,nan,0,3,0,1,10
46696000,1655588230065886,0,473977508,85456073,488172,488172,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.6106358,0,nan,nan,0,3,0,1,10
47896000,1655588231265886,0,473977508,85456073,488171,488171,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.03,1.3079497,0,nan,nan,0,3,0,1,10
48696000,1655588232065886,0,473977508,85456073,488182,488182,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.778665,0,nan,nan,0,3,0,1,10
49896000,1655588233265886,0,473977508,85456073,488179,488179,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.04,3.446327,0,nan,nan,0,3,0,1,10
50692000,1655588234065886,0,473977508,85456073,488174,488174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.832716,0,nan,nan,0,3,0,1,10
51896000,1655588235265886,0,473977508,85456073,488175,488175,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,6.0304613,0,nan,nan,0,3,0,1,10
52696000,1655588236065886,0,473977508,85456073,488178,488178,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.0,2.964267,0,nan,nan,0,3,0,1,10
53896000,1655588237265886,0,473977508,85456072,488169,488169,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.01,6.245661,0,nan,nan,0,3,0,1,10
54696000,1655588238065886,0,473977508,85456073,488165,488165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.03,1.6837192,0,nan,nan,0,3,0,1,10
55892000,1655588239265886,0,473977508,85456073,488174,488174,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.02,1.6105897,0,nan,nan,0,3,0,1,10
56696000,1655588240065886,0,473977508,85456073,488175,488175,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,6.05699,0,nan,nan,0,3,0,1,10
57892000,1655588241265886,0,473977508,85456074,488173,488173,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.02,1.824218,0,nan,nan,0,3,0,1,10
58696000,1655588242065886,0,473977508,85456073,488166,488166,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,2.941927,0,nan,nan,0,3,0,1,10
59896000,1655588243265886,0,473977508,85456073,488171,488171,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,0.0,0.59515727,0,nan,nan,0,3,0,1,10
60696000,1655588244065886,0,473977508,85456073,488179,488179,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.0,4.3647194,0,nan,nan,0,3,0,1,10
61896000,1655588245269886,0,473977508,85456073,488173,488173,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.03,0.0,1.2124802,0,nan,nan,0,3,0,1,10
62692000,1655588246065886,0,473977508,85456073,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.03,1.8465582,0,nan,nan,0,3,0,1,10
63892000,1655588247269886,0,473977508,85456072,488167,488167,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,1.635548,0,nan,nan,0,3,0,1,10
64692000,1655588248065886,0,473977508,85456073,488165,488165,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.049999997,6.1751494,0,nan,nan,0,3,0,1,10
65896000,1655588249269886,0,473977508,85456072,488168,488168,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.2813196,0,nan,nan,0,3,0,1,10
66696000,1655588250065886,0,473977508,85456073,488172,488172,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.06,4.329813,0,nan,nan,0,3,0,1,10
67896000,1655588251269886,0,473977508,85456073,488181,488181,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.02,0.0,1.0787879,0,nan,nan,0,3,0,1,10
68696000,1655588252065886,0,473977508,85456073,488180,488180,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.02,0.0,1.1889182,0,nan,nan,0,3,0,1,10
