,0
0,-0.002125850272908118
1,-0.0020036216321067
2,-0.0018633551976609502
3,-0.0015829845394874512
4,-0.0013990167678097345
5,-0.001199856001602488
6,-0.0010490731178130445
7,-0.0009086465098325667
8,-0.000982525852443961
9,-0.00096260901187951
10,-0.0010805045002003077
11,-0.0008006842634819978
12,-0.0006655281669349744
13,-0.0005023765249121555
14,-0.0004056205690906189
15,-0.0002977283063516255
16,-0.0002929558225660944
17,-0.00034614103096957
18,-0.00045824084747429224
19,-0.0005342879504387733
20,-0.0004512797031085489
21,-0.0004869516543629367
22,-0.0006123235288960467
23,-0.0006208500639862633
24,-0.0007832525955229377
25,-0.00085994134118979
26,-0.0010022874214459321
27,-0.0010579393850447846
28,-0.0010677533244696712
29,-0.00124686171376293
30,-0.001404381944603339
31,-0.0012728550263926522
32,-0.0011808162320984267
33,-0.0012345146642637923
34,-0.001370314128752769
35,-0.08133428110357553
36,-0.18133429213015487
37,-0.2813343349877228
38,-0.38133435238049995
39,-0.48133439523806787
40,-0.5406605461911621
41,-0.5387495409584692
42,-0.5370397712358215
43,-0.5361761137540344
44,-0.5358611333892601
45,-0.5361278134119049
46,-0.5365516748563474
47,-0.5370623266743565
48,-0.5376146643550603
49,-0.5381690455852335
50,-0.5387655201147555
51,-0.5394779358372213
52,-0.540350607854985
53,-0.5412047924345592
54,-0.5421639492483992
55,-0.5431426630216463
56,-0.5440556840005825
57,-0.5449677245850695
58,-0.5457502894402524
59,-0.546531199084027
60,-0.5472599377374562
61,-0.5480249318869218
62,-0.5484683693893644
63,-0.5481839276750706
64,-0.5470925703993008
65,-0.5451784138987346
66,-0.5422343020994435
67,-0.5383702428980925
68,-0.5333723957131435
69,-0.527105466110573
70,-0.5193948356530182
71,-0.5100620534520868
72,-0.4990507595593308
73,-0.48611776522170624
74,-0.47114238642896505
75,-0.4541766413827076
76,-0.4348694279122752
77,-0.41316992466124
78,-0.3888382532993738
79,-0.3621006684937761
80,-0.3330066674317483
81,-0.3017868656258308
82,-0.2690113879131671
83,-0.23497929916422267
84,-0.20036983447892706
85,-0.16569173581597252
86,-0.13152675268954622
87,-0.09825627763907592
88,-0.06673104794806842
89,-0.03698531567013641
90,-0.009416711605241358
91,0.016110426646868715
92,0.03886598087771792
93,0.058626684076798545
94,0.07554770276432858
95,0.09033658761447329
96,0.10285045695876202
97,0.11321780358557035
98,0.12176863845249822
99,0.1277210142255419
100,0.13526829441570498
101,0.14026870081213885
102,0.14413046181611147
103,0.14744452609752084
104,0.14984714821702924
105,0.1514049186028264
106,0.15203224372651739
107,0.1520181744295481
108,0.1514508507194027
109,0.15023413664425608
110,0.14838790110720373
111,0.14621501596494962
112,0.1433455223691777
113,0.14000112952181273
114,0.13624185793499358
115,0.13228364266930948
116,0.12810948597683833
117,0.1234507852432228
118,0.11860031553557696
119,0.11341257103872851
120,0.10797208849225011
121,0.1025966430217168
122,0.09708194970837353
123,0.09168306389782163
124,0.08623462997038635
125,0.08074082415177447
126,0.075273940983336
127,0.06993733568511482
128,0.06470735783256748
129,0.05967443926435883
130,0.05475485811422477
131,0.050078395688960164
132,0.04564570770693054
133,0.0413502240182416
134,0.03720382713094454
135,0.033283801412165276
136,0.0295488423344528
137,0.02598081132725284
138,0.02260511397582125
139,0.01943969659154108
140,0.016385258585698663
141,0.01372677134023844
142,0.011139982760021344
143,0.008695555729920857
144,0.0064142847981816
145,0.004394954254881843
146,0.0025361986350762467
147,0.0006850764046512256
148,-0.0009163597949945723
149,-0.002350851944971582
150,-0.0037458601090606504
151,-0.004847592440922647
152,-0.005776168969348953
153,-0.006651955331039133
154,-0.0074343807664918335
155,-0.008145192843750905
156,-0.008757850566196457
157,-0.009212029435748368
158,-0.009627466490742963
159,-0.00988227928421104
160,-0.009903325933885512
161,-0.010140818213206783
162,-0.010307205156912774
163,-0.01017685471204142
164,-0.010094418181097771
165,-0.009953326687427034
166,-0.009955535758037148
167,-0.009507644463667026
168,-0.009136611637795071
169,-0.008844205810148916
170,-0.008677806134047478
171,-0.008451853224720142
172,-0.008258090039252914
173,-0.008022020286812998
174,-0.007768713735726344
175,-0.007421241571009938
176,-0.007176879527725049
177,-0.006990777742908379
178,-0.006891747717597969
179,-0.006464773839088527
180,-0.006225217001845468
181,-0.0059304665035776844
182,-0.005673617800077577
183,-0.005240800388677575
184,-0.004792230457630108
185,-0.004440964421042256
186,-0.0041648981401356654
187,-0.0038305031641353267
188,-0.0035548914297462066
189,-0.0034162065498009497
190,-0.00335593158073912
191,-0.003203289894538317
192,-0.003132442389930846
193,-0.003018880245076599
194,-0.002877138762618274
195,-0.0025598436483516376
196,-0.002515089914973969
197,-0.0023799060618048713
198,-0.00243236053893503
199,-0.002105654274573482
200,-0.0018652050237335188
201,-0.0018007265816387
202,-0.0016287546363317044
203,-0.0014627305022339866
204,-0.0013245733800800223
205,-0.0012593625069370934
206,-0.0013536754343821701
207,-0.0012883460862996045
208,-0.001418503126084111
209,-0.0014982389249674466
210,-0.0017267949725439933
211,-0.0016576808562527255
212,-0.0016714743058746824
213,-0.0017682430577536435
214,-0.0018903201830492377
215,-0.00170617549473678
216,-0.0016946389895318211
217,-0.0017050609645012965
218,-0.001776056992501661
219,-0.0017870162745590144
220,-0.001822437225735751
221,-0.0018670410988190045
222,-0.0020476018087989645
223,-0.0020933509608527068
224,-0.0020742275395105566
225,-0.0020360540354240346
226,-0.0021135523704554067
227,-0.002190106534702381
228,-0.002362713062598471
229,-0.0025748834721639356
230,-0.00273470425587575
231,-0.0028470926011937058
232,-0.002997044632518232
233,-0.0031871477635901646
234,-0.0033480644882401102
235,-0.00333153249134336
236,-0.003516538335221899
237,-0.0036192636200010186
238,-0.00382866250538748
239,-0.003917520810960933
240,-0.0040919686978866205
241,-0.004223998927689341
242,-0.004422715587943385
243,-0.004576330220142297
244,-0.004721958457296857
245,-0.0049056977461382715
246,-0.00498654209103123
247,-0.004959617530998488
248,-0.004987702648876257
249,-0.004972090822198487
250,-0.004956937743728684
251,-0.0047364320078216345
252,-0.0045836936827393865
253,-0.004363704500115634
254,-0.004230022623975483
255,-0.004142529422179918
256,-0.0041185080392951035
