timestamp,timestamp_sample,device_id,error_count,pressure,temperature
115992000,115992000,6620172,0,956.00977,11.831818
116980000,116980000,6620172,0,955.5682,11.807556
117988000,117988000,6620172,0,954.8195,11.76413
118996000,118996000,6620172,0,954.1337,11.725403
119980000,119980000,6620172,0,953.686,11.69989
120988000,120988000,6620172,0,953.31793,11.679779
121996000,121996000,6620172,0,953.0183,11.661438
123000000,123000000,6620172,0,952.70734,11.643372
123988000,123988000,6620172,0,952.35016,11.625549
124992000,124992000,6620172,0,952.0519,11.606781
126000000,126000000,6620172,0,951.70996,11.588013
126984000,126984000,6620172,0,951.44403,11.572174
127992000,127992000,6620172,0,951.3556,11.567413
129000000,129000000,6620172,0,951.31116,11.564331
129988000,129988000,6620172,0,951.101,11.552582
130996000,130996000,6620172,0,950.7882,11.535431
131976000,131976000,6620172,0,950.4961,11.518066
132984000,132984000,6620172,0,950.36804,11.510529
133992000,133992000,6620172,0,950.339,11.508331
134976000,134976000,6620172,0,950.3085,11.507507
135984000,135984000,6620172,0,950.3061,11.507233
136996000,136996000,6620172,0,950.3011,11.50705
137976000,137976000,6620172,0,950.28546,11.506775
138984000,138984000,6620172,0,950.3086,11.506653
139992000,139992000,6620172,0,950.30524,11.506683
141000000,141000000,6620172,0,950.3011,11.506592
141984000,141984000,6620172,0,950.2836,11.506561
142992000,142992000,6620172,0,950.287,11.506439
143980000,143980000,6620172,0,950.2831,11.506256
144984000,144984000,6620172,0,950.2917,11.506348
145996000,145996000,6620172,0,950.31195,11.5061035
147000000,147000000,6620172,0,950.30676,11.507172
147984000,147984000,6620172,0,950.35834,11.511078
148996000,148996000,6620172,0,950.4404,11.514893
149976000,149976000,6620172,0,950.49976,11.5173645
150984000,150984000,6620172,0,950.45715,11.5159
151992000,151992000,6620172,0,950.36316,11.510284
152980000,152980000,6620172,0,950.3073,11.507721
153984000,153984000,6620172,0,950.3114,11.507751
154992000,154992000,6620172,0,950.31854,11.507843
155980000,155980000,6620172,0,950.33417,11.507477
156984000,156984000,6620172,0,950.28973,11.506989
157992000,157992000,6620172,0,950.3112,11.506897
158980000,158980000,6620172,0,950.30365,11.507141
159988000,159988000,6620172,0,950.31433,11.507263
160996000,160996000,6620172,0,950.3097,11.507324
161980000,161980000,6620172,0,950.32086,11.507507
162984000,162984000,6620172,0,950.3283,11.50766
163992000,163992000,6620172,0,950.3189,11.507935
164980000,164980000,6620172,0,950.31006,11.508209
165988000,165988000,6620172,0,950.30914,11.508179
166992000,166992000,6620172,0,950.32965,11.508148
167976000,167976000,6620172,0,950.3028,11.508209
168984000,168984000,6620172,0,950.3315,11.508362
169992000,169992000,6620172,0,950.321,11.508392
171000000,171000000,6620172,0,950.3383,11.508392
171988000,171988000,6620172,0,950.30646,11.508301
172996000,172996000,6620172,0,950.32214,11.508209
173976000,173976000,6620172,0,950.34375,11.508148
174988000,174988000,6620172,0,950.3154,11.50708
175992000,175992000,6620172,0,950.34546,11.509277
177000000,177000000,6620172,0,950.3876,11.512573
177988000,177988000,6620172,0,950.4333,11.515045
178996000,178996000,6620172,0,950.44586,11.514984
180000000,180000000,6620172,0,950.36346,11.510498
180984000,180984000,6620172,0,950.28296,11.507233
181996000,181996000,6620172,0,950.2995,11.506836
183000000,183000000,6620172,0,950.3093,11.507019
183988000,183988000,6620172,0,950.3003,11.506592
184996000,184996000,6620172,0,950.2752,11.506195
186000000,186000000,6620172,0,950.28827,11.506134
186984000,186984000,6620172,0,950.2706,11.506256
187992000,187992000,6620172,0,950.30334,11.506348
189000000,189000000,6620172,0,950.2945,11.506561
189988000,189988000,6620172,0,950.2896,11.506805
190992000,190992000,6620172,0,950.3109,11.5069275
192000000,192000000,6620172,0,950.3125,11.506989
192984000,192984000,6620172,0,950.33264,11.506989
193992000,193992000,6620172,0,950.29974,11.50705
195000000,195000000,6620172,0,950.29816,11.50708
195984000,195984000,6620172,0,950.2974,11.5069275
196996000,196996000,6620172,0,950.3122,11.506683
198000000,198000000,6620172,0,950.3008,11.506958
198984000,198984000,6620172,0,950.3633,11.510376
199992000,199992000,6620172,0,950.42554,11.51416
200976000,200976000,6620172,0,950.4152,11.514374
201984000,201984000,6620172,0,950.3544,11.510681
